a few;کمی
agree;همری بودن ، مماشت کردن ، متفق بودن ، سازش کردن ، توافق داشتن ، هم عقیده شدن ، توافق کردن ، موافقت کردن ، موافق بودن ، پسندآمدن
agree with;وفق پیدا کردن
agreeable;دلجو ، سازگار ، متوافق
agreeing;همزبان
agreement;توافق ، تطابق ، همدلی ، همخوانی ، معاهده ، سازگاری ، قرار ، سازش ، مطابقت ، پیمان ، مقاوله ، قرارداد ، موافقت ، میثاق ، مماشت ، توافقنامه
agreement letter;موافقت نامه
agression;پرخاشگری
agricultural;کشاورزی ، زراعی ، زراعتی
agriculture;فلاحت ، برز ، کشت و زرع ، زراعت ، کشاورزی ، کشاورزی ، برزگری
agriculture minister;وزیر کشاورزی
agrologist;خاکشناس
agronomist;برزشناس
agronomy;برزشناسی
aground;بگل نشسته ، درزمین
ague;تب و لرز
agument;مباحه
ah;اف ، آه ، اوه ، آوخ
ahdiyeh;عهدیه
ahead;روبجلو ، جلو ، جلو
ahmad ali;احمدعلی
ahmad reza;احمدرضا
ahmed;احمد
ahmed chalabi;احمد چلابی
ahmed shah masood;احمد شاه مسعود
ahmedinejad;احمدی نژاد
ahoy;هی هی
ahriman;اهریمن
ahu;آهو
ahura mazda;هرمزد
aid;مددکار ، معونت ، اعانه ، دستگیری ، مدد ، کمکی ، یار ، معاون ، معاظد ، مدد کار ، عون ، نصرت
aids;یدز
ailing;ضعیفالبنیه
ailment;نقاهت
aim;مرام ، مقصد ، کام ، نشانگاه ، مقصود ، نشان ، نشانه گرفتن ، هدف گیری کردن ، نصبالعین ، قراول رفتن
aiming;هدف گیری ، نشانه روی
aimless;بدون هدف ، بی مقصد ، بی هدف ، بی مرام
aimlessness;بی هدفی
air;هوا ، باد دادن ، هوا خوردن ، هویی ، هوا دادن
air base;پیگاه هوائی
air bladder;مثانه هوا
air conditioner;کولر
air conditioning;تهویه مطبوع
air embargo;تحریم هویی
air force;نیروی هویی
air heaviness;خفگی هوا
air mail;پست هویی
air peru;آئرو پرو
air pocket;هفره هوائی
air pollution;آلودگی وها
air pump;تلمبه
air tight;هوابندی شده
airborne;هوابرد
aircraft;طیاره ، هواپیمیی
aircraft carrie;هواپیما بر
aircraft carrier;هواپیما بر ، ناو هواپیمابر ، ناو هوا پیما بر
aircraft industry;هواپیماسازی
aircraft manufacture;هواپیماسازی
aircraft visibility;آسمانه هواپیما
airily;هواسان
airline;ارلین ، شرکت هویی
airlines;هواپیمیی ، هواپیمیی کشوری ، خطوط هویی
airplane;هواپیما ، طیاره
airpocket;چاه هویی
airport;پروازگ ، فرودگاه
airy;هوا مانند ، با روح
aisle;راه رو ، راهرو
aivatrix;زن هوانورد
akbar;اکبر
akhtar;اختر
akhzar ebrahimi;اخضر ابراهیمی
akram;اکرم
akramossadat;اکرمالسادات
al badr;البدرگ
al gore;ال گور
al hayaat;الحیات
al jazeera;الجززیره
al khafaji;الخفاجی
al khalil;الخلیل
al qaeda;القاعده
al-alam;العالم
al-araghi;العراقی
al-gamaat al islamia;الجماعت الاسلام
al-mahdi army;ارتش المهدی ، سپاه المهدی
al-mahdi movement;جنبش المهدی
al-sadr;الصدر
alabama;آلاباما
alabaster;مرمرسفید
aladdin;علاءالدین
alaleh;آلاله
alarm;اعلان خطر ، آژیر
alarum;شیپور حاضرباش ، ساعت زنگی
alas;افسوس ، وه ، ی بابا ، واحسرتا ، هیهات ، هی هی ، فغان
albania;آلبانی
albanian;آلبانییی
albany;آلبانی
albeit;ولوینکه
albert kohl;آلبرت کهل
albert roberts;آلبرت رابرتز
albertin robital;آلبرتین روبیتال
alberto;آلبرتو
albright;آلبریت
album;آلبوم
albumen;آلبومین
albumin;آلبومین
alchemist;کیمیاگر ، کیمیاشناس
alchemistic;کیمیاگرانه
alchemy;کیمیا ، کیمیاگری
alchoholics;داءالخمر
alcify;آهکی شدن
alcohol;الکل
alcoholic;الکلی ، باده پرستی ، باده پرست ، باده گساری ، باده دوست ، شرابخور ، باده نوش ، الکلی ، باده گسار
alcoholic drink;مشروب
alcoholic liquors;مسکرات
alcoholism;اعتیاد به الکل
aldebaran;دبران
alder;توسه ، توسکا
alderman;دخو
alembic;عرق کشی کردن
alert;مراقب ، هشیار ، گوش بزنگ ، خبردار ، هوشیار کردن ، بهوش
alertness;بیداری ، هشیاری
alexander;سکندر ، اسکندر
alexander kurzhakov;لکساندر کورژاکف
alexandria;اسکندریه
alexandrian;سکندری
algal;جلبکی ، خزهی
algebra;جبر ، جبر و مقابله
algebraic;جبری
algebraic language;زبان جبری
algeria;الجزیر
algerian;الجزیری
algogenic;دردزا
algol;زبان الگول
algologist;جلبک شناس
algology;جلبک شناسی
algorithm;الگوریتم
algorithmic;الگوریتمی
algorithmic language;زبان الگوریتمی
ali;علی
ali abbas;علیعباس
ali akbar;علیاکبر
ali akbar hashemi rafsanjani;علی اکبر هاشمی رفسنجانی
ali asghar;علیاصغر
ali ashraf;علیاشرف
ali baba;علیبابا
ali hasan;علیحسن
ali karam;علیکرم
ali mohammad;علیمحمد
ali panah;علیپناه
ali shamkhani;علی شمخانی
aliah;عالیه
alidad;علیداد
alien;غریب ، ناسازگار بودن ، غریبه بودن ، اجنبی
alienable;قابل فروش
alienate;گریزاندن ، بیگانه سازی ، بیگانه کردن
alienation;بیگانه سازی
aliens;موجودات فضیی
aliform;شبیه بال
align;هم تراز کردن
aligned;هم ردیف ، هم ردیف
aligner;هم تراز کننده
alignment;هم ترازی ، صف بندی
alike;یکجور ، همرنگ ، همشکل ، بتساوی ، همسان ، یکجور ، همشکل ، مانندهم ، بتساوی
alikeness;یکجوری
aliment;قوت لیموت
alimental;غذا دهنده
alimentary;رزقی
alimony;نفقه ، خرجی
alimorad;علیمراد
aliquot;متداخل
alireza;علیرضا
alis;آلیس
alive;جاندار ، زنده ، ذوحیات ، حی
alkanet;شنگار ، شنجار
all;جملگی ، جمیع ، تماما ، جمله ، همه ، تمام ، همگی ، همگی ، تمامی ، تمام ، همه ، کل ، همگی ، همه
all around;دورادور ، دورتادور
all day long;تمام روز
all life long;مادام العمر
all night long;تمامی شب
all out;بمقدار زیاد ، باشدت تمام
all over;سرتاسر ، سرتاپا ، بطور سراسری ، سربسر ، سراسر
all relative;دارودسته
all that;هرآنچه
all together;جمعا
all-in-one;تنگ بست
allah akbar;الله اکبر ، الله اکبر
allahbakhsh;اللهبخش
allahbedasht;اللهبهداشت
allahyar;اللهیار
allawi;علاوی
allegation;ادعا
allege;دلیل آوردن
alleged;منتسب به ، بنابگفته بعضی
allegorical;مجازی ، تمثیلی
allegorize;مثل گفتن ، تمثیل نوشتن
allegory;کنیه ، مجاز ، تمثیل
allegro;نشاط انگیز
allelomorph;دگرشکل
alleluia;سبحان الله
allen;آلن
allen clark;آلن کلارک
allen rome;آلن روم
alleviation;تسکین
alleviatory;تسکینی
alley;کوچه ، خیابان کوچک
allheal;سنبل الطیب
alliance;هم پیمانی ، اتحاد
allied;هم عهد ، متحده ، مقرون ، متحد ، مؤتلفه
allied forces;جبهه متحد
allies;متفقین
alligator;تمساح
allocate;اختصاص دادن ، تخصیص دادن ، اختصاص کردن
allocated;مختص ، اختصاصی
allocating;اختصاص
allocation;اختصاص ، تخصیص
allomorph;واژگونه ، واج گونه
allonym;اسم جعلی
allottee;سهم برده
allow;جیز شمردن ، اذن دادن ، اجازه دادن ، اختیار دادن ، گذاردن ، راه دادن ، رخصت دادن ، روا داشتن ، جیز دانستن
allow time;امان دادن
allowable;مجاز ، جیز
allowable acts;مباحات
allowance;فوقالعاده ، مدد معاش ، مدد معاش ، خرجی ، فوقالعاده دادن
alloy;آمیغ ، آلیاژ
alloy containing copper;مسوار
allude;تلمیح کردن ، اشارهکردن
allure;جادو کردن ، تطمیع کردن
allusion;تلمیح ، کنیه ، اشاره
allusive;کنیهی
alluvial;آبرفتی
alluvium;آبرفت ، ته نشین
ally;هم پیمان ، هم سوگند
ally;متحدین
almagest;المحیطی
almagest;مجسطی
almanac;سالنما
almas;الماس
almati;آلماتی
almggiver;مامور خیرات
almond;درخت بادام ، بادام ، مغز بادام
almond;آلموند
almond gum;زدو
almond shaped;بادامی
almond-shaped;لوزی
almoner;مامور خیرات
almost;بطور نزدیک ، کما بیش ، تقریبا
alms;زکات ، بلا گردان ، ذکات
almshouse;گدا خانه
almsman;صدقه خور ، صدقه دهنده
aloes;چدروا
aloeswood;عود ، عود
aloft;در فوق ، در نوک
alone;تک و تنها ، تکی ، بلاوارث ، یک تنه ، انفرادا ، تنهیی ، یکنفره ، تک و تنها ، یکتنه ، یکه ، تنها
along;همپا ، در طول
aloof;کناره گیر
alpaca;موی آلپاکا ، پشم آلپاکا ، آلپاکا
alpha;ستاره اول
alphabet;الفبا
alphabetic;هجائی
alphabetical;حروفی
alphabetically;به ترتیب الفبا ، الفبائی
alphameric;الفبا عددی ، الفماری
alpine;آلپی
alright;صحیح است
also;نیز ، همچنین ، مضافا بینککه ، یضًا ، مضافا بینککه ، مضافا ، هم
altar;محراب ، مجمره ، مذبح ، مبح
altars;مذابح
alter;دگرگون شدن ، پس و پیش کردن ، دگرگون کردن
alterant;تبدیلی
alteration;دگرش
alteration switch;گزینه دگرگونی
altercation;مجادله
altered;مخدوش
alternate;تناوب داشتن ، متناوب کردن ، تناوب کردن ، متناوب بودن
alternately;غبا
alternating;تناوبی ، متناوب
alternation;تناوب ، یک درمیانی
alternative;تناوبی ، متناوب
alternative current;جریان متناوب
alternatively;بنوبت ، به تناوب ، متناوبا
alternator;تناوبگر ، متناوب ساز
although;گرچه ، اگرچه ، ورچه ، هر چند ، هر چند ، هرچند
altimeter;فرازیاب ، افرازیاب ، فرازیاب
altitude;فرازا ، مقام رفیع ، منتها درجه ، ارتفاع
altitudinal;ارتفاعی
altmimi;التمیمی
altogether;تماما ، در مجموع ، من حیث المجموع ، جمیعا ، رویهم ، از همهجهت
altruism;غیرپرستی ، نوع پرستی ، بشردوستی ، غیرپرستی
altruist;نوعدوست
altruistic;نوعدوستانه
alum;زاج ، زاغ ، زاج سفید
aluminiferous;زاج دار
aluminum;آلومینیوم ، آلومینیومی
alumnus;دانش آموخته
alway;همه وقت
always;مدام ، همه وقت ، همیشه ، همواره ، علیالدوام ، مدام ، دائما
alzaz;الزاس
alzheimer's disease;بیماری آلزیمر
amalgam;ملقمه
amass;توده کردن
amass wealth;ثروت اندوختن
amassment;گردآوری
amateur;غیرحرفهی ، دوستار ، آماتور ، غیرحرفهی ، آماتور
amateurish;آماتوروار
amateurism;دوستاری
amaz;هاج وواج
amaze;حیران کردن ، متحیر ساختن ، حیرت کردن ، بهت زده کردن ، مبهوت کردن
amazed;شگفتزده ، حیرت زده ، متعجب ، بهت زده ، متحیر
amazement;سرگشتگی ، اعجاب ، سرگردانی ، بهت ، حیرت
amazing;دهشت انگیز ، بهت انگیز ، شگفت انگیز ، بهت آور ، اعجاب آمیز ، تحیرآور ، اعجاب انگیز ، تعجب آور ، شگفت انگیز
amazonian;شیر زن
ambassador;سفیر ، یلچی
ambassadors;سفراء
ambassadress;همسر سفیر
amber;شاهبوی ، کهربا ، کاهربا
ambidextrous;ذوالیمینین
ambient;محاصره شده
ambiguities;مبهمات
ambiguity;ابهام
ambiguous;مبهم
ambiguous language;زبان مبهم
ambition;جاه طلبی
ambitious;بلند همت ، نامجو
